frequency (Hz),distance (ft),tx_gain (dBi),rx_gain (dBi),fspl (dB)
200000000.0,1250,3,11,56.08909942679202
200000000.0,1250,3,12,55.08909942679202
200000000.0,1250,3,13,54.08909942679202
200000000.0,1250,3,14,53.08909942679202
200000000.0,1250,3,15,52.08909942679202
200000000.0,1250,4,0,66.08909942679202
200000000.0,1250,4,1,65.08909942679202
200000000.0,1250,4,2,64.08909942679202
200000000.0,1250,4,3,63.08909942679202
200000000.0,1250,4,4,62.08909942679202
200000000.0,1250,4,5,61.08909942679202
200000000.0,1250,4,6,60.08909942679202
200000000.0,1250,4,7,59.08909942679202
200000000.0,1250,4,8,58.08909942679202
200000000.0,1250,4,9,57.08909942679202
200000000.0,1250,4,10,56.08909942679202
200000000.0,1250,4,11,55.08909942679202
200000000.0,1250,4,12,54.08909942679202
200000000.0,1250,4,13,53.08909942679202
200000000.0,1250,4,14,52.08909942679202
200000000.0,1250,4,15,51.08909942679202
200000000.0,1250,5,0,65.08909942679202
200000000.0,1250,5,1,64.08909942679202
200000000.0,1250,5,2,63.08909942679202
200000000.0,1250,5,3,62.08909942679202
200000000.0,1250,5,4,61.08909942679202
200000000.0,1250,5,5,60.08909942679202
200000000.0,1250,5,6,59.08909942679202
200000000.0,1250,5,7,58.08909942679202
200000000.0,1250,5,8,57.08909942679202
200000000.0,1250,5,9,56.08909942679202
200000000.0,1250,5,10,55.08909942679202
200000000.0,1250,5,11,54.08909942679202
200000000.0,1250,5,12,53.08909942679202
200000000.0,1250,5,13,52.08909942679202
200000000.0,1250,5,14,51.08909942679202
200000000.0,1250,5,15,50.08909942679202
200000000.0,1250,6,0,64.08909942679202
200000000.0,1250,6,1,63.08909942679202
200000000.0,1250,6,2,62.08909942679202
200000000.0,1250,6,3,61.08909942679202
200000000.0,1250,6,4,60.08909942679202
200000000.0,1250,6,5,59.08909942679202
200000000.0,1250,6,6,58.08909942679202
200000000.0,1250,6,7,57.08909942679202
200000000.0,1250,6,8,56.08909942679202
200000000.0,1250,6,9,55.08909942679202
200000000.0,1250,6,10,54.08909942679202
200000000.0,1250,6,11,53.08909942679202
200000000.0,1250,6,12,52.08909942679202
200000000.0,1250,6,13,51.08909942679202
200000000.0,1250,6,14,50.08909942679202
200000000.0,1250,6,15,49.08909942679202
200000000.0,1250,7,0,63.08909942679202
200000000.0,1250,7,1,62.08909942679202
200000000.0,1250,7,2,61.08909942679202
200000000.0,1250,7,3,60.08909942679202
200000000.0,1250,7,4,59.08909942679202
200000000.0,1250,7,5,58.08909942679202
200000000.0,1250,7,6,57.08909942679202
200000000.0,1250,7,7,56.08909942679202
200000000.0,1250,7,8,55.08909942679202
200000000.0,1250,7,9,54.08909942679202
200000000.0,1250,7,10,53.08909942679202
200000000.0,1250,7,11,52.08909942679202
200000000.0,1250,7,12,51.08909942679202
200000000.0,1250,7,13,50.08909942679202
200000000.0,1250,7,14,49.08909942679202
200000000.0,1250,7,15,48.08909942679202
200000000.0,1250,8,0,62.08909942679202
200000000.0,1250,8,1,61.08909942679202
200000000.0,1250,8,2,60.08909942679202
200000000.0,1250,8,3,59.08909942679202
200000000.0,1250,8,4,58.08909942679202
200000000.0,1250,8,5,57.08909942679202
200000000.0,1250,8,6,56.08909942679202
200000000.0,1250,8,7,55.08909942679202
200000000.0,1250,8,8,54.08909942679202
200000000.0,1250,8,9,53.08909942679202
200000000.0,1250,8,10,52.08909942679202
200000000.0,1250,8,11,51.08909942679202
200000000.0,1250,8,12,50.08909942679202
200000000.0,1250,8,13,49.08909942679202
200000000.0,1250,8,14,48.08909942679202
200000000.0,1250,8,15,47.08909942679202
200000000.0,1250,9,0,61.08909942679202
200000000.0,1250,9,1,60.08909942679202
200000000.0,1250,9,2,59.08909942679202
200000000.0,1250,9,3,58.08909942679202
200000000.0,1250,9,4,57.08909942679202
200000000.0,1250,9,5,56.08909942679202
200000000.0,1250,9,6,55.08909942679202
200000000.0,1250,9,7,54.08909942679202
200000000.0,1250,9,8,53.08909942679202
200000000.0,1250,9,9,52.08909942679202
200000000.0,1250,9,10,51.08909942679202
200000000.0,1250,9,11,50.08909942679202
200000000.0,1250,9,12,49.08909942679202
200000000.0,1250,9,13,48.08909942679202
200000000.0,1250,9,14,47.08909942679202
200000000.0,1250,9,15,46.08909942679202
200000000.0,1250,10,0,60.08909942679202
200000000.0,1250,10,1,59.08909942679202
200000000.0,1250,10,2,58.08909942679202
200000000.0,1250,10,3,57.08909942679202
200000000.0,1250,10,4,56.08909942679202
200000000.0,1250,10,5,55.08909942679202
200000000.0,1250,10,6,54.08909942679202
200000000.0,1250,10,7,53.08909942679202
200000000.0,1250,10,8,52.08909942679202
200000000.0,1250,10,9,51.08909942679202
200000000.0,1250,10,10,50.08909942679202
200000000.0,1250,10,11,49.08909942679202
200000000.0,1250,10,12,48.08909942679202
200000000.0,1250,10,13,47.08909942679202
200000000.0,1250,10,14,46.08909942679202
200000000.0,1250,10,15,45.08909942679202
200000000.0,1250,11,0,59.08909942679202
200000000.0,1250,11,1,58.08909942679202
200000000.0,1250,11,2,57.08909942679202
200000000.0,1250,11,3,56.08909942679202
200000000.0,1250,11,4,55.08909942679202
200000000.0,1250,11,5,54.08909942679202
200000000.0,1250,11,6,53.08909942679202
200000000.0,1250,11,7,52.08909942679202
200000000.0,1250,11,8,51.08909942679202
200000000.0,1250,11,9,50.08909942679202
200000000.0,1250,11,10,49.08909942679202
200000000.0,1250,11,11,48.08909942679202
200000000.0,1250,11,12,47.08909942679202
200000000.0,1250,11,13,46.08909942679202
200000000.0,1250,11,14,45.08909942679202
200000000.0,1250,11,15,44.08909942679202
200000000.0,1250,12,0,58.08909942679202
200000000.0,1250,12,1,57.08909942679202
200000000.0,1250,12,2,56.08909942679202
200000000.0,1250,12,3,55.08909942679202
200000000.0,1250,12,4,54.08909942679202
200000000.0,1250,12,5,53.08909942679202
200000000.0,1250,12,6,52.08909942679202
200000000.0,1250,12,7,51.08909942679202
200000000.0,1250,12,8,50.08909942679202
200000000.0,1250,12,9,49.08909942679202
200000000.0,1250,12,10,48.08909942679202
200000000.0,1250,12,11,47.08909942679202
200000000.0,1250,12,12,46.08909942679202
200000000.0,1250,12,13,45.08909942679202
200000000.0,1250,12,14,44.08909942679202
200000000.0,1250,12,15,43.08909942679202
200000000.0,1250,13,0,57.08909942679202
200000000.0,1250,13,1,56.08909942679202
200000000.0,1250,13,2,55.08909942679202
200000000.0,1250,13,3,54.08909942679202
200000000.0,1250,13,4,53.08909942679202
200000000.0,1250,13,5,52.08909942679202
200000000.0,1250,13,6,51.08909942679202
200000000.0,1250,13,7,50.08909942679202
200000000.0,1250,13,8,49.08909942679202
200000000.0,1250,13,9,48.08909942679202
200000000.0,1250,13,10,47.08909942679202
200000000.0,1250,13,11,46.08909942679202
200000000.0,1250,13,12,45.08909942679202
200000000.0,1250,13,13,44.08909942679202
200000000.0,1250,13,14,43.08909942679202
200000000.0,1250,13,15,42.08909942679202
200000000.0,1250,14,0,56.08909942679202
200000000.0,1250,14,1,55.08909942679202
200000000.0,1250,14,2,54.08909942679202
200000000.0,1250,14,3,53.08909942679202
200000000.0,1250,14,4,52.08909942679202
200000000.0,1250,14,5,51.08909942679202
200000000.0,1250,14,6,50.08909942679202
200000000.0,1250,14,7,49.08909942679202
200000000.0,1250,14,8,48.08909942679202
200000000.0,1250,14,9,47.08909942679202
200000000.0,1250,14,10,46.08909942679202
200000000.0,1250,14,11,45.08909942679202
200000000.0,1250,14,12,44.08909942679202
200000000.0,1250,14,13,43.08909942679202
200000000.0,1250,14,14,42.08909942679202
200000000.0,1250,14,15,41.08909942679202
200000000.0,1250,15,0,55.08909942679202
200000000.0,1250,15,1,54.08909942679202
200000000.0,1250,15,2,53.08909942679202
200000000.0,1250,15,3,52.08909942679202
200000000.0,1250,15,4,51.08909942679202
200000000.0,1250,15,5,50.08909942679202
200000000.0,1250,15,6,49.08909942679202
200000000.0,1250,15,7,48.08909942679202
200000000.0,1250,15,8,47.08909942679202
200000000.0,1250,15,9,46.08909942679202
200000000.0,1250,15,10,45.08909942679202
200000000.0,1250,15,11,44.08909942679202
200000000.0,1250,15,12,43.08909942679202
200000000.0,1250,15,13,42.08909942679202
200000000.0,1250,15,14,41.08909942679202
200000000.0,1250,15,15,40.08909942679202
200000000.0,1255,0,0,70.123773682972
200000000.0,1255,0,1,69.123773682972
200000000.0,1255,0,2,68.123773682972
200000000.0,1255,0,3,67.123773682972
200000000.0,1255,0,4,66.123773682972
200000000.0,1255,0,5,65.123773682972
200000000.0,1255,0,6,64.123773682972
200000000.0,1255,0,7,63.123773682972
200000000.0,1255,0,8,62.123773682972
200000000.0,1255,0,9,61.123773682972
200000000.0,1255,0,10,60.123773682972
200000000.0,1255,0,11,59.123773682972
200000000.0,1255,0,12,58.123773682972
200000000.0,1255,0,13,57.123773682972
200000000.0,1255,0,14,56.123773682972
200000000.0,1255,0,15,55.123773682972
200000000.0,1255,1,0,69.123773682972
200000000.0,1255,1,1,68.123773682972
200000000.0,1255,1,2,67.123773682972
200000000.0,1255,1,3,66.123773682972
200000000.0,1255,1,4,65.123773682972
200000000.0,1255,1,5,64.123773682972
200000000.0,1255,1,6,63.123773682972
200000000.0,1255,1,7,62.123773682972
200000000.0,1255,1,8,61.123773682972
200000000.0,1255,1,9,60.123773682972
200000000.0,1255,1,10,59.123773682972
200000000.0,1255,1,11,58.123773682972
200000000.0,1255,1,12,57.123773682972
200000000.0,1255,1,13,56.123773682972
200000000.0,1255,1,14,55.123773682972
200000000.0,1255,1,15,54.123773682972
200000000.0,1255,2,0,68.123773682972
200000000.0,1255,2,1,67.123773682972
200000000.0,1255,2,2,66.123773682972
200000000.0,1255,2,3,65.123773682972
200000000.0,1255,2,4,64.123773682972
200000000.0,1255,2,5,63.123773682972
200000000.0,1255,2,6,62.123773682972
200000000.0,1255,2,7,61.123773682972
200000000.0,1255,2,8,60.123773682972
200000000.0,1255,2,9,59.123773682972
200000000.0,1255,2,10,58.123773682972
200000000.0,1255,2,11,57.123773682972
200000000.0,1255,2,12,56.123773682972
200000000.0,1255,2,13,55.123773682972
200000000.0,1255,2,14,54.123773682972
200000000.0,1255,2,15,53.123773682972
200000000.0,1255,3,0,67.123773682972
200000000.0,1255,3,1,66.123773682972
200000000.0,1255,3,2,65.123773682972
200000000.0,1255,3,3,64.123773682972
200000000.0,1255,3,4,63.123773682972
200000000.0,1255,3,5,62.123773682972
200000000.0,1255,3,6,61.123773682972
200000000.0,1255,3,7,60.123773682972
200000000.0,1255,3,8,59.123773682972
200000000.0,1255,3,9,58.123773682972
200000000.0,1255,3,10,57.123773682972
200000000.0,1255,3,11,56.123773682972
200000000.0,1255,3,12,55.123773682972
200000000.0,1255,3,13,54.123773682972
200000000.0,1255,3,14,53.123773682972
200000000.0,1255,3,15,52.123773682972
200000000.0,1255,4,0,66.123773682972
200000000.0,1255,4,1,65.123773682972
200000000.0,1255,4,2,64.123773682972
200000000.0,1255,4,3,63.123773682972
200000000.0,1255,4,4,62.123773682972
200000000.0,1255,4,5,61.123773682972
200000000.0,1255,4,6,60.123773682972
200000000.0,1255,4,7,59.123773682972
200000000.0,1255,4,8,58.123773682972
200000000.0,1255,4,9,57.123773682972
200000000.0,1255,4,10,56.123773682972
200000000.0,1255,4,11,55.123773682972
200000000.0,1255,4,12,54.123773682972
200000000.0,1255,4,13,53.123773682972
200000000.0,1255,4,14,52.123773682972
200000000.0,1255,4,15,51.123773682972
200000000.0,1255,5,0,65.123773682972
200000000.0,1255,5,1,64.123773682972
200000000.0,1255,5,2,63.123773682972
200000000.0,1255,5,3,62.123773682972
200000000.0,1255,5,4,61.123773682972
200000000.0,1255,5,5,60.123773682972
200000000.0,1255,5,6,59.123773682972
200000000.0,1255,5,7,58.123773682972
200000000.0,1255,5,8,57.123773682972
200000000.0,1255,5,9,56.123773682972
200000000.0,1255,5,10,55.123773682972
200000000.0,1255,5,11,54.123773682972
200000000.0,1255,5,12,53.123773682972
200000000.0,1255,5,13,52.123773682972
200000000.0,1255,5,14,51.123773682972
200000000.0,1255,5,15,50.123773682972
200000000.0,1255,6,0,64.123773682972
200000000.0,1255,6,1,63.123773682972
200000000.0,1255,6,2,62.123773682972
200000000.0,1255,6,3,61.123773682972
200000000.0,1255,6,4,60.123773682972
200000000.0,1255,6,5,59.123773682972
200000000.0,1255,6,6,58.123773682972
200000000.0,1255,6,7,57.123773682972
200000000.0,1255,6,8,56.123773682972
200000000.0,1255,6,9,55.123773682972
200000000.0,1255,6,10,54.123773682972
200000000.0,1255,6,11,53.123773682972
200000000.0,1255,6,12,52.123773682972
200000000.0,1255,6,13,51.123773682972
200000000.0,1255,6,14,50.123773682972
200000000.0,1255,6,15,49.123773682972
200000000.0,1255,7,0,63.123773682972
200000000.0,1255,7,1,62.123773682972
200000000.0,1255,7,2,61.123773682972
200000000.0,1255,7,3,60.123773682972
200000000.0,1255,7,4,59.123773682972
200000000.0,1255,7,5,58.123773682972
200000000.0,1255,7,6,57.123773682972
200000000.0,1255,7,7,56.123773682972
200000000.0,1255,7,8,55.123773682972
200000000.0,1255,7,9,54.123773682972
200000000.0,1255,7,10,53.123773682972
200000000.0,1255,7,11,52.123773682972
200000000.0,1255,7,12,51.123773682972
200000000.0,1255,7,13,50.123773682972
200000000.0,1255,7,14,49.123773682972
200000000.0,1255,7,15,48.123773682972
200000000.0,1255,8,0,62.123773682972
200000000.0,1255,8,1,61.123773682972
200000000.0,1255,8,2,60.123773682972
200000000.0,1255,8,3,59.123773682972
200000000.0,1255,8,4,58.123773682972
200000000.0,1255,8,5,57.123773682972
200000000.0,1255,8,6,56.123773682972
200000000.0,1255,8,7,55.123773682972
200000000.0,1255,8,8,54.123773682972
200000000.0,1255,8,9,53.123773682972
200000000.0,1255,8,10,52.123773682972
200000000.0,1255,8,11,51.123773682972
200000000.0,1255,8,12,50.123773682972
200000000.0,1255,8,13,49.123773682972
200000000.0,1255,8,14,48.123773682972
200000000.0,1255,8,15,47.123773682972
200000000.0,1255,9,0,61.123773682972
200000000.0,1255,9,1,60.123773682972
200000000.0,1255,9,2,59.123773682972
200000000.0,1255,9,3,58.123773682972
200000000.0,1255,9,4,57.123773682972
200000000.0,1255,9,5,56.123773682972
200000000.0,1255,9,6,55.123773682972
200000000.0,1255,9,7,54.123773682972
200000000.0,1255,9,8,53.123773682972
200000000.0,1255,9,9,52.123773682972
200000000.0,1255,9,10,51.123773682972
200000000.0,1255,9,11,50.123773682972
200000000.0,1255,9,12,49.123773682972
200000000.0,1255,9,13,48.123773682972
200000000.0,1255,9,14,47.123773682972
200000000.0,1255,9,15,46.123773682972
200000000.0,1255,10,0,60.123773682972
200000000.0,1255,10,1,59.123773682972
200000000.0,1255,10,2,58.123773682972
200000000.0,1255,10,3,57.123773682972
200000000.0,1255,10,4,56.123773682972
200000000.0,1255,10,5,55.123773682972
200000000.0,1255,10,6,54.123773682972
200000000.0,1255,10,7,53.123773682972
200000000.0,1255,10,8,52.123773682972
200000000.0,1255,10,9,51.123773682972
200000000.0,1255,10,10,50.123773682972
200000000.0,1255,10,11,49.123773682972
200000000.0,1255,10,12,48.123773682972
200000000.0,1255,10,13,47.123773682972
200000000.0,1255,10,14,46.123773682972
200000000.0,1255,10,15,45.123773682972
200000000.0,1255,11,0,59.123773682972
200000000.0,1255,11,1,58.123773682972
200000000.0,1255,11,2,57.123773682972
200000000.0,1255,11,3,56.123773682972
200000000.0,1255,11,4,55.123773682972
200000000.0,1255,11,5,54.123773682972
200000000.0,1255,11,6,53.123773682972
200000000.0,1255,11,7,52.123773682972
200000000.0,1255,11,8,51.123773682972
200000000.0,1255,11,9,50.123773682972
200000000.0,1255,11,10,49.123773682972
200000000.0,1255,11,11,48.123773682972
200000000.0,1255,11,12,47.123773682972
200000000.0,1255,11,13,46.123773682972
200000000.0,1255,11,14,45.123773682972
200000000.0,1255,11,15,44.123773682972
200000000.0,1255,12,0,58.123773682972
200000000.0,1255,12,1,57.123773682972
200000000.0,1255,12,2,56.123773682972
200000000.0,1255,12,3,55.123773682972
200000000.0,1255,12,4,54.123773682972
200000000.0,1255,12,5,53.123773682972
200000000.0,1255,12,6,52.123773682972
200000000.0,1255,12,7,51.123773682972
200000000.0,1255,12,8,50.123773682972
200000000.0,1255,12,9,49.123773682972
200000000.0,1255,12,10,48.123773682972
200000000.0,1255,12,11,47.123773682972
200000000.0,1255,12,12,46.123773682972
200000000.0,1255,12,13,45.123773682972
200000000.0,1255,12,14,44.123773682972
200000000.0,1255,12,15,43.123773682972
200000000.0,1255,13,0,57.123773682972
200000000.0,1255,13,1,56.123773682972
200000000.0,1255,13,2,55.123773682972
200000000.0,1255,13,3,54.123773682972
200000000.0,1255,13,4,53.123773682972
200000000.0,1255,13,5,52.123773682972
200000000.0,1255,13,6,51.123773682972
200000000.0,1255,13,7,50.123773682972
200000000.0,1255,13,8,49.123773682972
200000000.0,1255,13,9,48.123773682972
200000000.0,1255,13,10,47.123773682972
200000000.0,1255,13,11,46.123773682972
200000000.0,1255,13,12,45.123773682972
200000000.0,1255,13,13,44.123773682972
200000000.0,1255,13,14,43.123773682972
200000000.0,1255,13,15,42.123773682972
200000000.0,1255,14,0,56.123773682972
200000000.0,1255,14,1,55.123773682972
200000000.0,1255,14,2,54.123773682972
200000000.0,1255,14,3,53.123773682972
200000000.0,1255,14,4,52.123773682972
200000000.0,1255,14,5,51.123773682972
200000000.0,1255,14,6,50.123773682972
200000000.0,1255,14,7,49.123773682972
200000000.0,1255,14,8,48.123773682972
200000000.0,1255,14,9,47.123773682972
200000000.0,1255,14,10,46.123773682972
200000000.0,1255,14,11,45.123773682972
200000000.0,1255,14,12,44.123773682972
200000000.0,1255,14,13,43.123773682972
200000000.0,1255,14,14,42.123773682972
200000000.0,1255,14,15,41.123773682972
200000000.0,1255,15,0,55.123773682972
200000000.0,1255,15,1,54.123773682972
200000000.0,1255,15,2,53.123773682972
200000000.0,1255,15,3,52.123773682972
200000000.0,1255,15,4,51.123773682972
200000000.0,1255,15,5,50.123773682972
200000000.0,1255,15,6,49.123773682972
200000000.0,1255,15,7,48.123773682972
200000000.0,1255,15,8,47.123773682972
200000000.0,1255,15,9,46.123773682972
200000000.0,1255,15,10,45.123773682972
200000000.0,1255,15,11,44.123773682972
200000000.0,1255,15,12,43.123773682972
200000000.0,1255,15,13,42.123773682972
200000000.0,1255,15,14,41.123773682972
200000000.0,1255,15,15,40.123773682972
200000000.0,1260,0,0,70.15831006898213
200000000.0,1260,0,1,69.15831006898213
200000000.0,1260,0,2,68.15831006898213
200000000.0,1260,0,3,67.15831006898213
200000000.0,1260,0,4,66.15831006898213
200000000.0,1260,0,5,65.15831006898213
200000000.0,1260,0,6,64.15831006898213
200000000.0,1260,0,7,63.15831006898213
200000000.0,1260,0,8,62.15831006898213
200000000.0,1260,0,9,61.15831006898213
200000000.0,1260,0,10,60.15831006898213
200000000.0,1260,0,11,59.15831006898213
200000000.0,1260,0,12,58.15831006898213
200000000.0,1260,0,13,57.15831006898213
200000000.0,1260,0,14,56.15831006898213
200000000.0,1260,0,15,55.15831006898213
200000000.0,1260,1,0,69.15831006898213
200000000.0,1260,1,1,68.15831006898213
